title,year,actor,country,describe,genre,num,rating
无间道,2002,导演: 刘伟强 / 麦兆辉??????主演: 刘德华 / 梁朝伟 / 黄秋生,中国香港,香港电影史上永不过时的杰作。,剧情 犯罪 悬疑,730610人评价,9.2
教父,1972,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola??????主演: 马龙·白兰度 M...,美国,千万不要记恨你的对手，这样会让你失去理智。,剧情 犯罪,566097人评价,9.3
疯狂动物城,2016,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore??????主演: 金妮弗·...,美国,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,喜剧 动画 冒险,1034682人评价,9.2
当幸福来敲门,2006,导演: 加布里尔·穆奇诺 Gabriele Muccino??????主演: 威尔·史密斯 Will Smith ...,美国,平民励志片。 ,剧情 传记 家庭,922041人评价,9.1
怦然心动,2010,导演: 罗伯·莱纳 Rob Reiner??????主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,美国,真正的幸福是来自内心深处。,剧情 喜剧 爱情,1037251人评价,9
触不可及,2011,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano??????主...,法国,满满温情的高雅喜剧。,剧情 喜剧,601191人评价,9.2
蝙蝠侠：黑暗骑士,2008,导演: 克里斯托弗·诺兰 Christopher Nolan??????主演: 克里斯蒂安·贝尔 Christ...,美国 英国,无尽的黑暗。,剧情 动作 科幻 犯罪 惊悚,603377人评价,9.2
活着,1994,导演: 张艺谋 Yimou Zhang??????主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,中国大陆 中国香港,张艺谋最好的电影。,剧情 历史 家庭,471947人评价,9.2
乱世佳人,1939,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor??????主演: 费...,美国,Tomorrow is another day.,剧情 历史 爱情 战争,412640人评价,9.3
控方证人,1957,导演: 比利·怀尔德 Billy Wilder??????主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,美国,比利·怀德满分作品。,剧情 犯罪 悬疑,217245人评价,9.6
少年派的奇幻漂流,2012,导演: 李安 Ang Lee??????主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,美国 中国台湾 英国 加拿大,瑰丽壮观、无人能及的冒险之旅。,剧情 奇幻 冒险,894492人评价,9
摔跤吧！爸爸,2016,导演: 涅提·蒂瓦里 Nitesh Tiwari??????主演: 阿米尔·汗 Aamir Khan / 法缇玛...,印度,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,剧情 传记 运动 家庭,909546人评价,9
指环王3：王者无敌,2003,导演: 彼得·杰克逊 Peter Jackson??????主演: 维果·莫腾森 Viggo Mortensen / ...,美国 新西兰,史诗的终章。,剧情 动作 奇幻 冒险,452756人评价,9.2
鬼子来了,2000,导演: 姜文 Wen Jiang??????主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,中国大陆,对敌人的仁慈，就是对自己残忍。,剧情 历史 战争,381420人评价,9.2
飞屋环游记,2009,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson??????主演: 爱德...,美国,最后那些最无聊的事情，才是最值得怀念的。 ,剧情 喜剧 动画 冒险,815947人评价,9
十二怒汉,1957,导演: Sidney Lumet??????主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,美国,1957年的理想主义。 ,剧情,271540人评价,9.4
天空之城,1986,导演: 宫崎骏 Hayao Miyazaki??????主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,日本,对天空的追逐，永不停止。 ,动画 奇幻 冒险,528615人评价,9.1
天堂电影院,1988,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore??????主演: 安东内拉·阿蒂利 Anton...,意大利 法国,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,剧情 爱情,430185人评价,9.2
大话西游之月光宝盒,1995,导演: 刘镇伟 Jeffrey Lau??????主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,中国香港 中国大陆,旷古烁今。,喜剧 爱情 奇幻 古装,718671人评价,9
哈尔的移动城堡,2004,导演: 宫崎骏 Hayao Miyazaki??????主演: 倍赏千惠子 Chieko Baish?? / 木村拓...,日本,带着心爱的人在天空飞翔。,动画 奇幻 冒险,598018人评价,9
寻梦环游记,2017,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina??????主演: ...,美国,死亡不是真的逝去，遗忘才是永恒的消亡。,喜剧 动画 奇幻 音乐,867025人评价,9
末代皇帝,1987,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci??????主演: 尊龙 John Lone / 陈...,英国 意大利 中国大陆 法国,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,剧情 传记 历史,388182人评价,9.2
罗马假日,1953,导演: 威廉·惠勒 William Wyler??????主演: 奥黛丽·赫本 Audrey Hepburn / 格...,美国,爱情哪怕只有一天。,喜剧 剧情 爱情,604630人评价,9
搏击俱乐部,1999,导演: 大卫·芬奇 David Fincher??????主演: 爱德华·诺顿 Edward Norton / 布拉...,美国 德国,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,剧情 动作 悬疑 惊悚,564641人评价,9
闻香识女人,1992,导演: 马丁·布莱斯 Martin Brest??????主演: 阿尔·帕西诺 Al Pacino / 克里斯...,美国,史上最美的探戈。,剧情,519168人评价,9
